strain,stage,body weight,brain weight,embryos per liter
C57BL/6JOlaHsd,E16.5,0.5939,0.0433,4
C57BL/6JOlaHsd,E16.5,0.5889,0.0429,4
C57BL/6JOlaHsd,E16.5,0.6504,0.0443,4
C57BL/6JOlaHsd,E16.5,0.4928,0.042,4
C57BL/6JOlaHsd,E16.5,0.6111,0.0439,7
C57BL/6JOlaHsd,E16.5,0.6065,0.0443,7
C57BL/6JOlaHsd,E16.5,0.5935,0.05,7
C57BL/6JOlaHsd,E16.5,0.6503,0.0438,7
C57BL/6JOlaHsd,E16.5,0.5616,0.0392,7
C57BL/6JOlaHsd,E16.5,0.5474,0.0441,7
C57BL/6JOlaHsd,E16.5,0.4831,0.0437,7
FVB/NHanHsd,E16.5,0.4975,0.0377,10
FVB/NHanHsd,E16.5,0.5297,0.0423,10
FVB/NHanHsd,E16.5,0.5596,0.0415,10
FVB/NHanHsd,E16.5,0.5333,0.0445,10
FVB/NHanHsd,E16.5,0.465,0.04,10
FVB/NHanHsd,E16.5,0.5163,0.043,10
FVB/NHanHsd,E16.5,0.547,0.0489,10
FVB/NHanHsd,E16.5,0.4969,0.042,10
FVB/NHanHsd,E16.5,0.5448,0.0497,10
FVB/NHanHsd,E16.5,0.5585,0.0471,10
FVB/NHanHsd,E16.5,0.5948,0.0487,9
FVB/NHanHsd,E16.5,0.5033,0.0439,9
FVB/NHanHsd,E16.5,0.4585,0.0462,9
FVB/NHanHsd,E16.5,0.5017,0.0377,9
FVB/NHanHsd,E16.5,0.4414,0.0324,9
FVB/NHanHsd,E16.5,0.4909,0.0424,9
FVB/NHanHsd,E16.5,0.4569,0.0454,9
FVB/NHanHsd,E16.5,0.5643,0.0447,9
FVB/NHanHsd,E16.5,0.525,0.0389,9
A/JolaHsd,P0 (E19.5),0.9,0.0617,5
A/JolaHsd,P0 (E19.5),1.1,0.0737,5
A/JolaHsd,P0 (E19.5),1.1,0.0662,5
A/JolaHsd,P0 (E19.5),1.2,0.0825,5
A/JolaHsd,P0 (E19.5),1.2,0.0752,5
A/JolaHsd,P0 (E19.5),1.1,0.0619,7
A/JolaHsd,P0 (E19.5),1.1,0.0631,7
A/JolaHsd,P0 (E19.5),1,0.0638,7
A/JolaHsd,P0 (E19.5),1.1,0.067,7
A/JolaHsd,P0 (E19.5),1,0.0709,7
A/JolaHsd,P0 (E19.5),1.1,0.0692,7
A/JolaHsd,P0 (E19.5),1,0.0784,7
A/JolaHsd,P0 (E19.5),1.1,0.0714,5
A/JolaHsd,P0 (E19.5),1.1,0.0815,5
A/JolaHsd,P0 (E19.5),1.1,0.0759,5
A/JolaHsd,P0 (E19.5),1.1,0.0714,5
A/JolaHsd,P0 (E19.5),1.2,0.0779,5
C57BL/6JOlaHsd,P0 (E19.5),1.3,0.0863,5
C57BL/6JOlaHsd,P0 (E19.5),1.4,0.0797,5
C57BL/6JOlaHsd,P0 (E19.5),1.3,0.0677,5
C57BL/6JOlaHsd,P0 (E19.5),1.3,0.0888,5
C57BL/6JOlaHsd,P0 (E19.5),1.2,0.0734,5
FVB/NHanHsd,P0 (E19.5),1.3,0.0814,10
FVB/NHanHsd,P0 (E19.5),1.4,0.0789,10
FVB/NHanHsd,P0 (E19.5),1.5,0.0821,10
FVB/NHanHsd,P0 (E19.5),1.3,0.0824,10
FVB/NHanHsd,P0 (E19.5),1.2,0.0758,10
FVB/NHanHsd,P0 (E19.5),1.5,0.085,10
FVB/NHanHsd,P0 (E19.5),1.4,0.0791,10
FVB/NHanHsd,P0 (E19.5),1,0.0683,10
FVB/NHanHsd,P0 (E19.5),1.1,0.0702,10
FVB/NHanHsd,P0 (E19.5),0.8,0.0714,10
